dataset,corruption,mIoU_mean,mIoU_std,mDice_mean,mDice_std,mAcc_mean,mAcc_std
PascalContext60Dataset,glass_blur,24.74,0.03,36.37,0.04,47.48,0.06
PascalContext60Dataset,motion_blur,25.73,0.01,37.58,0.02,50.08,0.05
PascalContext60Dataset,zoom_blur,19.69,0.02,30.13,0.04,40.45,0.03
PascalContext60Dataset,snow,22.66,0.02,33.74,0.04,44.0,0.03
PascalContext60Dataset,frost,22.06,0.02,32.91,0.02,42.14,0.03
PascalContext60Dataset,fog,24.89,0.01,36.72,0.02,48.16,0.03
PascalContext60Dataset,brightness,27.01,0.01,39.13,0.02,52.44,0.04
PascalContext60Dataset,contrast,24.17,0.03,35.85,0.04,47.61,0.03
PascalContext60Dataset,elastic_transform,24.26,0.03,35.7,0.03,46.06,0.06
PascalContext60Dataset,pixelate,27.48,0.01,39.74,0.01,53.27,0.02
PascalContext60Dataset,jpeg_compression,26.21,0.01,38.3,0.01,50.52,0.0
PascalVOC20Dataset,original,83.77,0.04,90.82,0.04,91.79,0.06
PascalVOC20Dataset,gaussian_noise,71.06,0.09,82.01,0.07,83.74,0.03
PascalVOC20Dataset,shot_noise,74.97,0.07,84.91,0.06,86.67,0.05
PascalVOC20Dataset,impulse_noise,71.15,0.13,82.08,0.11,83.62,0.13
PascalVOC20Dataset,defocus_blur,80.42,0.05,88.63,0.05,90.13,0.02
PascalVOC20Dataset,glass_blur,78.63,0.12,87.37,0.09,89.22,0.08
PascalVOC20Dataset,motion_blur,81.32,0.09,89.16,0.05,90.61,0.05
PascalVOC20Dataset,zoom_blur,69.47,0.19,80.97,0.12,82.16,0.11
PascalVOC20Dataset,snow,79.45,0.1,88.0,0.07,89.29,0.06
PascalVOC20Dataset,frost,73.36,0.02,83.54,0.01,85.34,0.02
PascalVOC20Dataset,fog,79.88,0.02,88.24,0.01,89.05,0.02
PascalVOC20Dataset,brightness,83.45,0.05,90.64,0.03,91.88,0.05
PascalVOC20Dataset,contrast,79.18,0.1,87.85,0.06,89.11,0.01
PascalVOC20Dataset,elastic_transform,73.94,0.01,83.92,0.01,84.76,0.05
PascalVOC20Dataset,pixelate,84.98,0.05,91.47,0.03,92.51,0.04
PascalVOC20Dataset,jpeg_compression,82.21,0.04,89.74,0.03,90.76,0.02
PascalVOC21Dataset,original,50.77,0.0,66.03,0.01,85.82,0.02
PascalVOC21Dataset,gaussian_noise,43.69,0.06,59.26,0.06,77.97,0.03
PascalVOC21Dataset,shot_noise,45.53,0.02,61.11,0.02,80.7,0.02
PascalVOC21Dataset,impulse_noise,43.93,0.04,59.45,0.03,78.22,0.0
PascalVOC21Dataset,defocus_blur,46.02,0.04,61.73,0.04,84.46,0.09
PascalVOC21Dataset,glass_blur,46.87,0.06,62.45,0.05,83.92,0.04
PascalVOC21Dataset,motion_blur,47.7,0.03,63.25,0.02,84.41,0.0
PascalVOC21Dataset,zoom_blur,39.05,0.05,54.94,0.05,75.21,0.08
PascalVOC21Dataset,snow,46.34,0.05,62.13,0.04,82.76,0.03
PascalVOC21Dataset,frost,46.75,0.05,62.42,0.05,76.15,0.06
PascalVOC21Dataset,fog,47.58,0.04,63.31,0.04,81.17,0.03
PascalVOC21Dataset,brightness,49.88,0.05,65.28,0.05,86.13,0.03
PascalVOC21Dataset,contrast,45.29,0.03,61.2,0.03,83.06,0.02
PascalVOC21Dataset,elastic_transform,46.95,0.03,62.12,0.02,76.94,0.08
PascalVOC21Dataset,pixelate,50.14,0.03,65.52,0.02,87.17,0.03
PascalVOC21Dataset,jpeg_compression,48.29,0.06,63.73,0.06,85.27,0.05
